Node,C92ICY6VWN,CBDWGRJVVL,CAKIJ91SJ7,C9EQAVY4YU
161100,39.4988429893,63.5029428594,56.5444917155,48.306356661
162000,39.5303434498,63.5433547524,56.1892516481,48.3246196212
162900,39.8358106333,63.908921457,56.64832575,48.3596956727
163800,40.4683549417,64.4975343042,56.8839533526,48.761820675
164700,41.4662327373,64.779371265,56.9839951547,48.7716154922
165600,41.6522112092,64.4044805412,56.8687357624,48.3109459992
166500,41.8047635122,64.8034915158,57.1650439887,48.7216742764
167400,42.6849206475,65.0154975487,56.9932089299,48.8540800397
168300,42.6509621377,64.7210352069,57.0145724609,48.8432497152
169200,43.6177629332,65.0888590416,57.4901001093,49.470014717
170100,43.8270926791,65.2554457995,57.7900426852,49.2020944783
171000,44.3805295852,65.8342999685,57.524059119,49.4624865521
171900,44.2373417487,66.1627413613,57.6866118417,49.3835615678
172800,44.5697938391,65.8933436085,58.1941270847,50.3647097011
173700,44.9401547992,66.9236967491,58.2963201611,50.0223119577
174600,45.0478159206,66.4722299034,58.6895927279,50.1798866306
175500,45.2286171485,66.5039182898,58.7762203587,50.8418751354
176400,45.6590566643,67.2702283667,59.0249769185,50.7451930617
177300,45.8178923012,67.4511240047,59.1120704645,50.8779355554
178200,46.1455194137,67.1671510072,59.3725011308,50.9974880673
179100,46.2315145681,67.2708492178,59.4778069855,51.0020048735
180000,46.1779575021,67.6559932143,59.4868440385,51.5457029293
180900,46.2382588463,67.5420772127,59.5731203884,51.2538839553
181800,46.2915145302,67.5650188885,59.8007142026,51.375345522
182700,46.2099182605,67.4232819403,60.0355878124,51.6391301596
183600,46.4451536885,67.7845336373,59.8738656075,51.6771858808
184500,46.4588537883,67.6879199677,59.3485856622,51.705223692
185400,46.2627999441,67.7158895564,59.6420068704,51.478049286
186300,46.5181503722,67.4447876849,59.910585139,51.5665258652
187200,46.3409717679,67.503044218,59.4628684535,51.3312146102
188100,46.0427571348,67.5237717983,59.453896021,51.4574623926
189000,46.3951593449,67.5472798747,59.9772193984,51.6627527602
189900,46.5680289081,67.5603031848,59.8668070699,51.9423525754
190800,46.1971464305,67.5048854833,59.7335686349,51.2954405306
191700,46.4282236955,67.6512848049,59.4793317848,51.7253875333
192600,46.5024819979,67.9710139145,59.4046206939,51.44751194
193500,45.6188809297,67.3017443407,59.4435132803,51.6564150194
194400,45.4461958906,67.6242117243,59.3673446459,51.5032206332
195300,44.6044095742,67.3462631583,59.3684687444,51.5739071162
196200,44.0535613306,66.628411506,58.7292657114,51.0162729193
197100,43.3126025594,66.2017818866,58.806616435,50.3823776499
198000,42.3334768598,65.7860967976,58.0302339239,49.7946519561
198900,41.5807790665,65.3794985153,57.7977719829,49.4419067926
199800,39.5886649433,64.1055634901,57.2162691964,48.4374229577
200700,39.1087377719,63.9774819456,56.7867929445,47.9023765797
201600,39.0386516437,63.7279026832,56.2108136695,48.1448452107
202500,38.9288908205,63.3330764014,55.9354568053,48.0145679148
203400,38.4027135541,62.6673866022,56.0505888743,47.3533329376
204300,38.4664294892,62.5574540938,55.7100639361,47.1477798334
205200,38.2547594562,62.7060077553,55.6316447723,47.3163937437
206100,37.9684556799,62.6967490043,55.2865670444,46.8213711065
207000,37.7419845791,62.3393120955,54.8681919747,47.0117511841
207900,37.9895388597,62.3568945093,54.6897985872,46.6931916528
208800,37.336210702,61.8354913054,54.5071642947,46.2620679244
209700,37.9629788387,61.9958773123,55.0747766047,46.7707223948
210600,37.5446353122,61.9949427979,54.5115618326,46.1676445211
211500,38.0430603788,61.786034666,54.5723058614,46.3375205774
212400,37.5445561669,61.7760535264,54.3829127578,45.6355761197
213300,37.7773179068,61.5839943454,54.2636039319,45.8834401774
214200,37.2556997337,61.6328876449,54.527006853,46.4098918387
215100,37.9164893771,62.2021653349,54.7886880371,46.1898651496
216000,37.4182060132,61.434434007,53.8678613735,45.9609975234
216900,37.4408372035,61.9269904034,54.7610491243,46.4778067558
217800,38.0157682386,62.040187669,54.5594306656,46.5000937827
218700,38.1447341243,62.2579304507,54.8136593286,46.7226840953
219600,37.8769742595,62.0739053951,54.2317328659,46.5034067533
220500,37.9892755889,62.7438753005,55.2520464494,46.6482113881
221400,38.4170980043,62.2503877855,55.1161532192,47.0590063184
222300,38.3654517716,62.6950092523,55.2224752643,47.0143280208
223200,38.9298646871,63.1280298088,55.4181802761,47.1205176
224100,39.1283140381,62.8270842784,55.4320428106,47.3804849408
225000,39.0839673846,62.8408885951,55.569822112,47.4421757939
225900,38.9881161884,63.1238678912,55.6664300037,47.3694583443
226800,38.9934975098,63.2023844789,55.6227711431,47.3826479281
227700,39.351533155,63.3530614986,55.4892984527,47.3814801387
228600,39.3964341195,63.1956121426,55.4498588733,47.4533589314
229500,39.2906799684,62.9062177758,55.4927799976,47.0959747419
230400,39.3761367727,63.0889117318,56.0520454801,47.7767935551
231300,39.3457379799,63.3328918839,56.2857797819,47.6426490532
232200,39.0954057914,63.4201476683,55.9996042435,47.4363558709
233100,39.4104267302,63.2942964485,56.3619405771,47.8542341082
234000,39.4234224039,63.4857457734,55.959856325,47.9094393447
234900,39.8525110147,63.4709653613,56.3134549311,48.2913533502
235800,39.6303230023,63.6249702664,56.2479499499,48.2430174204
236700,39.9556187058,63.8343417998,56.1798224559,47.8494648324
237600,40.0747966861,64.0318820646,56.4675296153,48.3125293658
238500,39.7697046002,63.8843229247,56.9481916178,48.2161630033
239400,39.3281588599,63.388624863,56.4673557378,48.0004923546
240300,39.6346500623,63.6758386698,56.2427940233,48.2619251873
241200,39.8923882478,64.0447395205,56.4935841196,48.2483764843
242100,39.7691985078,63.8884434335,56.3712109312,48.2388914063
243000,39.6983759822,63.7333328047,56.6971835001,48.3847596296
243900,40.1160037467,64.0175544335,57.0600139213,48.5059296683
244800,39.7196633499,63.9245740715,56.759557548,48.5133528833
245700,40.6955561441,63.9420196068,57.0927069348,48.7433798527
246600,39.8941165452,63.8227534581,56.9237556642,48.5899023089
247500,40.1712850786,64.0396350669,56.8115804364,48.0888325409
248400,39.9107769788,64.2920985316,56.6660953069,48.4985313905
249300,40.5747594171,64.355341699,57.0611714858,48.827150205
250200,40.3759248956,64.6959468901,57.2072485564,49.103140465
251100,41.9759415868,65.2512465693,57.9574506769,49.3226424921
252000,41.8624372292,64.9721001285,57.3833850506,49.5610755966
252900,42.9654816632,65.3931685373,57.5810676232,49.5360839195
253800,43.1624526418,65.9672861914,57.919753867,49.8550965631
254700,43.8836834428,65.9879259837,57.787584579,50.2902766946
255600,44.4192617599,66.2194036737,58.3096680613,49.8263625872
256500,44.7916857389,66.5988613902,58.6558238045,50.747220273
257400,45.5115524155,66.8294709878,58.5797708584,50.2018942756
258300,45.7785900131,66.9436924079,58.9940855474,50.8635198094
259200,45.9697314934,67.3920122328,59.2366286914,50.8012524712
260100,46.3356286209,67.8066834225,59.2258046303,50.9813202241
261000,46.4972630207,67.1687538539,59.5540165981,51.5562076523
261900,46.2513269773,67.16435885,59.7272163294,51.3908111921
262800,47.0799555255,68.0991214415,60.0410908833,51.4829505789
263700,47.0251040947,68.3472643186,60.1077704996,51.9085678372
264600,46.7848986048,67.9898544324,60.2459419766,51.5153797282
265500,46.8647014356,68.2534567117,59.9876105692,52.3640334249
266400,47.0968759803,68.3128358058,60.1159446932,52.0558649641
267300,47.4098037957,68.393963778,60.1438443572,51.9710457686
268200,47.6504886276,68.4208067471,60.1221623416,51.818174309
269100,46.9995308397,68.2882807355,60.4151707118,52.0466282632
270000,47.0778385381,68.1555172818,60.448474235,52.312369039
270900,47.2262692232,68.4576720603,60.3652666032,52.1053921525
271800,47.4568530655,68.4745703387,60.3224219249,51.8935418007
272700,47.5275351793,68.1516200793,60.8486512316,52.006339333
273600,47.21581889,68.6667121608,60.1389445823,52.3560662754
274500,47.2202607325,68.5171161218,60.3972196048,52.3058951356
275400,47.3653380557,68.2621034221,60.3729071188,52.6247150587
276300,47.4746020193,68.9145158524,60.2568820159,52.2466419849
277200,47.202780405,67.9797831862,60.401423369,52.3963500305
278100,47.2531824022,68.5986276309,60.2360914221,51.9276765762
279000,46.6567844257,68.1669122448,60.4710066807,51.7137377526
279900,46.8265180429,68.2827607523,59.7206206919,51.6083762649
280800,46.309016667,67.9639597634,60.1418747844,51.2183470712
281700,46.4394913857,67.5869781913,59.9361445709,51.2125334002
282600,45.2240571836,67.4487532319,59.5938192443,51.1019498587
283500,44.371744444,67.0388664233,59.2756317643,51.0400561126
284400,43.4696953224,66.9364620621,58.7658639977,50.6228988063
285300,42.176129045,65.4533689035,58.2136365967,49.5623358451
286200,41.5370834355,65.1841724528,57.9658916659,49.8010241811
287100,39.6666164895,63.5366091192,56.8537537854,48.2284371489
288000,39.4139774474,63.7352643326,56.1673743501,48.3502973717
288900,39.5798273168,63.7984949115,56.9182866545,48.1241512461
289800,38.5439294346,63.0706110073,56.1556600941,48.3044564801
290700,38.9431183103,62.9714497855,56.0434732251,47.6008535122
291600,38.5872371935,62.8073093847,56.0835077533,47.4813895295
292500,38.6395320494,62.9087941606,55.6280648744,47.2103212806
293400,38.5591544828,62.4719232053,55.6209898913,47.2626696787
294300,38.2263036466,62.5074633666,55.0880941003,46.8532426464
295200,37.7407622572,61.8999090413,54.8898303359,46.4147800844
296100,38.3925875412,62.3289511893,55.3775426048,46.2623094109
297000,38.7266944444,62.0747569607,54.5340777019,46.4957580956
297900,38.134706055,62.370366656,54.7577069929,46.8331257674
298800,37.885917078,62.0515119439,54.883986496,46.6981866443
299700,38.3183647926,62.2970548453,54.9139044109,46.6885476684
300600,39.0207844877,62.2020568707,55.2483204341,46.9370822048
301500,38.1024943241,62.4328695884,55.5641464678,46.8374047825
302400,37.9011178443,61.8801854717,54.7163012117,46.325030268
303300,38.6104816216,62.351164956,55.0509424857,47.1557329234
304200,38.6962792753,62.1415548702,55.1431639383,46.8222013531
305100,38.5798262009,62.4671134325,55.3212669662,47.2174910486
306000,38.3111227939,62.1480256974,54.9314220436,46.5301283979
306900,38.8651844294,62.4349983197,55.5442173285,46.8381566773
307800,38.69748693,62.6105827257,54.9698270371,47.2710753444
308700,38.7852308864,62.5084076578,55.1305172146,46.9550359555
309600,38.9212724323,62.5168071723,55.4617171419,47.12821503
310500,39.4517565439,63.0890690249,55.7515268782,47.3444979408
311400,39.3644303368,63.2325973386,56.3507450416,47.3594129357
312300,39.8290328764,63.1804894266,55.7652772537,47.5271901589
313200,39.8292610902,63.501416599,55.9744548633,47.6957408794
314100,39.8464177462,62.6931527866,55.3840376301,47.4391826855
315000,39.5498200274,62.7642025664,55.7913363182,47.1444086828
315900,39.5966549989,62.9851772947,55.6893534266,47.7388787605
316800,39.5198449335,63.0795910188,55.884306366,47.7434079394
317700,39.9389510337,63.467975391,56.3250129064,47.8769640605
318600,39.9203339665,63.3143396437,56.1288413511,47.7226132582
319500,39.6419235261,63.274306786,56.0291576686,47.641663709
320400,39.2905985191,63.0553505247,56.0618804289,47.4501157872
321300,39.5055455724,63.7596689409,56.3491511688,47.9936000236
322200,39.8518285555,63.8017855073,56.0405199607,48.2772536124
323100,40.0125158168,63.5313632372,56.0990282723,48.0827761849
324000,39.8155063658,64.0281628687,56.1496977263,48.0730189566
324900,39.9215748786,63.685933425,56.3658090308,47.8583999988
325800,39.9007751305,63.2400732424,56.0943331346,47.9291866385
326700,39.5538503494,63.4607127772,56.143790358,47.8581704091
327600,39.6198748818,64.1445723773,56.3604523979,48.1002359697
328500,40.0096446831,63.7020285513,56.4430604301,48.2141891345
329400,40.1728457615,63.3302163575,56.5654092476,48.149898475
330300,40.4307224803,63.9482563603,56.981192502,48.498174783
331200,39.9402759793,63.7322662739,56.6916462812,47.891889935
332100,40.1995124637,64.2183398191,56.7490944811,48.6653074434
333000,40.4386756941,63.906653943,56.8672797491,48.4015035403
333900,40.4056603674,64.0962685776,56.6915984794,48.4586871822
334800,40.3084986991,64.2601600371,56.366881889,48.3648635749
335700,40.5479446634,64.3218943882,57.0761633647,48.9234077649
336600,40.5844370925,64.3514730317,56.82661626,48.9642297845
337500,40.7123260753,64.4229937208,57.3524119502,49.0253415179
338400,41.5383214689,64.7781304622,57.324139434,49.066883823
339300,42.1139579548,64.934655911,57.6407188252,49.1122128858
340200,42.3933441997,65.2840269722,57.062804723,49.3860489784
341100,43.009852996,65.4629668099,57.5884486478,49.4720465007
342000,43.5830010574,65.4243374787,57.5983497385,49.296673328
342900,43.8672834501,65.6593989769,57.7698657233,49.2895671598
343800,44.4828844337,66.4186787782,57.9208129712,50.0652346303
344700,44.9440785974,66.4720368932,58.3014342421,50.0041577139
345600,45.3871476668,66.2960210768,57.9914634371,50.227808934
346500,45.6744441276,66.5522881724,58.4842164295,50.2379217193
347400,45.8162480638,66.4408389061,58.8039340935,51.1301059426
348300,46.1340301001,67.0206550884,59.1044397026,50.6659745529
349200,46.043946255,67.3265371177,59.1424354124,50.9461683594
350100,46.3578066816,67.1381228949,59.0946347553,51.0009793184
351000,46.1744106685,66.9960708465,59.40716443,50.9086960592
351900,46.4406725033,66.9550743235,59.5497518465,51.0279208619
352800,46.6228974271,67.2995474876,59.330530656,51.2349999553
353700,46.5651779552,67.4041502719,59.336162081,51.4174967751
354600,46.40216302,67.8009882643,59.1879010282,51.1538837378
355500,46.6777323854,67.4692088979,59.2565094236,51.321615176
356400,46.6322461983,67.3829599209,59.3510212341,50.9434566833
357300,46.5869883298,67.7241016131,59.3424827394,51.4123683138
358200,46.604836672,67.2773584899,59.493624255,51.5515945707
359100,46.692309254,67.662436404,59.6696286068,51.4879104181
360000,46.8038039001,67.5751794974,59.5462438595,51.9464958328
360900,46.7749355882,67.8205928701,59.6152694979,51.6811051132
361800,46.9548691389,67.6769959557,60.0389323919,51.6206871472
362700,46.9537186198,67.4729291402,59.5348300633,51.3903542952
363600,46.2021072373,67.8725430423,59.4562588657,51.290683223
364500,46.5819361148,67.6331393115,59.622409018,51.6415935831
365400,46.584645483,67.6300268991,59.6955861621,51.3686185041
366300,46.7700194626,67.819943734,59.782750124,51.3734152021
367200,46.0937527565,67.1302792261,59.1493802041,51.2048402097
368100,45.6965389515,67.4662350938,59.7087786343,51.3222624405
369000,45.1553091229,66.9273473556,59.0051767271,51.155903784
369900,44.7501579512,66.6898687475,58.8879882479,50.5520619899
370800,44.0020960273,65.8137520958,58.3850594018,50.2073859402
371700,42.7730790225,65.4455054801,57.4644503271,49.6192134561
372600,41.3771648216,64.7634609497,57.3795148423,48.8959775409
373500,40.0786117671,63.9591821401,56.5969917041,48.4583125836
374400,38.6986415222,63.0736121197,56.1491807019,47.5385097886
375300,39.1098781306,62.9164770816,55.9185959888,47.8154210385
376200,39.0647383456,63.0877779058,55.9125643466,47.5502063483
377100,38.4695504654,62.5156779478,55.1874519229,47.199872368
378000,38.3218226893,62.8086411139,55.4686201412,46.8407749581
378900,38.135968473,62.3158560145,55.2299220361,47.0321541092
379800,38.2208887772,62.2948294892,54.9561687767,46.4411467241
380700,37.5870057139,61.6369140032,54.605185678,46.4084198428
381600,37.510745274,61.7559227264,54.8893973351,46.141476061
382500,37.9091237025,61.709275462,54.9543816654,46.4968809918
383400,38.4152787285,61.727324813,54.4659082166,46.5369794334
384300,38.4185818131,62.2251204463,54.7089086502,46.6731701347
385200,38.0100638357,61.8794011509,54.2533823261,46.1808782246
386100,37.6903381312,61.7120653748,53.9926237868,46.4268345172
387000,38.0023602978,61.8983771578,54.5920608473,46.5576346304
387900,37.8974304936,62.2196594792,54.4940052657,46.4508343028
388800,37.818067065,61.4147195999,54.1928648229,45.9998585011
389700,38.3068187752,61.6866633287,54.3023893148,46.0466249805
390600,37.977969663,61.68631777,54.5662669485,46.4471201904
391500,38.120431203,61.7103565056,54.5433076219,46.6150533228
392400,38.0671743712,61.8468352941,54.4727302908,46.3145273534
393300,38.4184831031,62.2401716319,54.8090077366,46.7833998272
394200,38.5795072083,62.1326345079,54.7476050201,46.7829930338
395100,38.5742167822,61.9744319977,55.175617486,46.8108539447
396000,38.9002300489,62.3727091369,54.9547209959,46.6297830338
396900,38.7989043117,62.5674948111,55.1247927126,46.9181046616
397800,38.9077485037,62.3058428531,55.3601655594,47.0988960641
398700,39.1707608379,62.9378103408,55.6446616511,47.369221762
399600,39.3526810985,62.9248677555,55.2915420131,47.5217164541
400500,39.3197520039,62.7107079778,55.4168934225,47.3475099334
401400,39.6799039435,63.0541594302,55.773506491,47.2197484636
402300,38.8026004854,62.7957773572,55.1287878412,47.1456180516
403200,39.8914984241,62.9875941653,56.0257434836,47.6335797822
404100,39.3007922874,63.1348271559,55.6809531775,47.185585612
405000,39.607081941,63.409810482,55.8746899878,47.4845637737
405900,39.4840498785,63.0744642333,56.0776303728,47.4445649954
