Node,C92ICY6VWN,CBDWGRJVVL,CAKIJ91SJ7,C9EQAVY4YU
0,44.8564713306,66.2853784972,58.6568606124,50.1849833742
900,45.7004183781,66.6230839811,59.1964731194,50.6151658796
1800,45.5014644292,67.3294648115,59.0326051082,51.2171553005
2700,45.8128526696,67.1941928087,59.1383607868,51.2744010977
3600,45.9750300709,67.555291738,59.1449675678,51.148954524
4500,46.2136059651,67.8935542485,59.4211709212,51.1605610549
5400,45.9747352398,67.8203421674,59.3016370405,51.2239268214
6300,46.5031175731,67.7738745177,59.8821479311,51.4187564305
7200,46.2638273114,67.991099177,59.7887949395,51.7327828834
8100,46.2171027943,68.0110565497,59.5177374293,51.5040319519
9000,46.5142557488,67.5891410337,59.4307254479,52.0341099833
9900,46.4163346616,67.9629567169,59.3959308807,51.4060387201
10800,46.472729668,68.1520162995,59.8551074343,51.5459729974
11700,46.4475087905,67.7661707632,59.4204406748,51.9394666716
12600,46.6674066515,68.0758565833,59.8446662886,51.4954995641
13500,46.5952805726,68.2323632511,59.9248917613,51.7806624084
14400,46.6285653962,67.8017930927,59.8976536554,51.6883215558
15300,46.4708971243,68.1909692979,59.9284735405,51.2813150281
16200,46.5827114725,68.1086359871,59.7197437089,51.8320388521
17100,46.0271238207,68.4578320336,59.9293306807,51.7206008545
18000,46.7181236041,67.5300629433,60.0469546989,51.550886295
18900,46.2524209347,67.9769657698,59.5669405493,51.371657404
19800,45.593027288,67.8030972432,59.6451035752,51.4767658672
20700,45.2113118917,67.5376079031,59.766240415,51.3173620596
21600,44.3513903904,67.2923337299,59.422297171,50.9627934188
22500,43.6580263431,66.8719016498,59.1226566117,50.9780698252
23400,42.6729373295,66.6182780281,59.3001779927,50.3569734886
24300,41.9988871782,66.1268572651,58.6741440735,50.7621088605
25200,40.6145623842,65.5750026912,58.0667392142,49.7152249803
26100,40.708006028,64.8878883732,57.5893430171,49.4869201143
27000,40.038228106,64.7559807293,57.2188168309,49.1585498685
27900,39.2495614613,63.9444265272,56.8316821848,48.5586538393
28800,38.465788991,63.3314131521,56.3676552496,48.1324968655
29700,38.8173193306,63.1256121038,56.0729425183,48.1718027872
30600,38.4843526413,63.0809741118,56.1696493609,47.864374085
31500,38.0010301832,62.7078238763,55.4548465877,47.3305831224
32400,38.1006349796,62.6476222102,55.4927053957,47.3341277002
33300,38.3633049571,62.5721561375,55.4894038143,47.1475061852
34200,38.1819464414,62.4473518978,55.2891153498,47.1846249893
35100,38.1483019142,62.3561594387,55.2284354193,46.6171496856
36000,37.2001496043,61.7742486767,54.7245225132,46.3299193235
36900,37.528848266,61.7946884945,54.7694227511,46.4643648369
37800,37.48615675,61.6793875884,54.5035164202,46.167545358
38700,37.4194036562,61.7068914751,54.573609882,46.4244656768
39600,36.9072473281,61.7718342051,54.3551262601,46.0904408231
40500,37.4988895415,61.3331928589,54.4657188744,46.1536205792
41400,37.4276120707,61.8071482005,54.3113636081,46.213353471
42300,37.6767332787,62.1652729298,54.5549449235,46.2966534346
43200,36.729703633,61.4117114725,54.2917512441,46.3589105764
44100,37.4796790048,61.6336871373,54.7065514485,45.8640390322
45000,37.2915632151,61.9686080286,54.6518226721,46.1213087895
45900,37.9861384177,61.9532853444,54.8362252093,46.4547189334
46800,37.0618223678,62.0391807619,54.3629750828,46.1343633509
47700,37.7085191186,61.9997857616,55.0840686405,46.5179712896
48600,38.0020365928,61.9095881481,55.2531043345,46.7319546056
49500,38.1156770781,62.5965503414,54.7754640208,46.8004505602
