Node,C92ICY6VWN,CBDWGRJVVL,CAKIJ91SJ7,C9EQAVY4YU
0,44.738722435,66.410966062,58.3194880486,50.2642208057
900,45.0114346816,66.522971537,58.4899385414,50.2817895566
1800,45.0857672871,66.6950148692,58.9205414788,50.4697589893
2700,45.1644289554,67.0332841502,58.6611396226,50.6099976307
3600,46.068121508,67.1118574118,59.7743312682,50.8313570611
4500,45.7737274909,67.6596370883,59.1394862453,51.1753026065
5400,45.6016925808,67.0279874347,59.4653552079,51.1711120213
6300,45.8426734973,67.4099511573,59.3616405261,51.1437783567
7200,46.2701054484,67.3347618052,59.6517117299,51.4315149293
8100,46.0057667963,67.4360173784,59.7352489186,51.226700603
9000,46.3261642393,67.4048132119,59.6775337868,51.4649307259
9900,45.6759888494,67.5342952723,59.9110695993,50.9774542939
10800,46.0207549443,67.4694258221,59.7464825335,51.4329438417
11700,45.9610257635,67.4792523093,59.5228299635,51.5633740812
12600,46.1774841454,67.5688600014,59.8217646549,51.3614233881
13500,45.8307169035,67.2526913941,59.7629711051,51.4256135013
14400,45.9535925181,67.465130224,59.5547396999,51.4084134845
15300,46.1466960681,67.2816211504,59.4199120689,51.459149699
16200,46.1153471565,67.2886989231,59.3320435762,51.5102758944
17100,46.006913458,67.3235094446,59.3091599725,51.4256660868
18000,45.8121460842,67.4129666424,59.1658090715,51.3242712765
18900,45.4267618073,67.3360253429,59.5418233641,51.0373276991
19800,44.9146289518,67.0654726509,59.3506833132,51.3522416283
20700,44.4292492279,67.0539946391,59.6584778088,51.277168157
21600,43.5001785792,66.8224575774,59.0746138461,51.1822515617
22500,43.3308377139,66.9023547109,59.1320931633,50.5353057929
23400,42.0040991963,65.4676273803,58.6126602592,50.5778227837
24300,41.201429381,65.750744373,57.9130891303,49.9966495703
25200,39.5655851824,64.704036015,57.7157143581,49.3213182975
26100,39.1374186874,64.4449936221,57.7183300463,49.0894451242
27000,38.7866181813,64.3178910229,57.3973292238,48.1708223451
27900,38.2746479448,63.3333212601,56.1291534245,47.7268187504
28800,37.5705275434,62.7545062082,55.8243140085,47.4966808176
29700,37.7576640886,62.4892674237,55.4680961934,47.8625517862
30600,37.3026271584,62.6617032655,55.6600511828,47.2501323491
31500,37.1649671186,62.1743817417,54.8187897236,46.4408344992
32400,36.8092113134,62.093175959,54.5715881671,46.6581876659
33300,36.7621995826,62.0385715094,54.9775066267,46.5687965444
34200,36.9281032668,61.8421154284,54.4663194405,46.0797677104
35100,36.7177589713,61.5151150997,54.0544513244,46.1939240637
36000,36.4992320365,60.662089066,53.9427566066,45.8948147025
36900,36.5651498861,61.3416064053,53.8820311209,45.7100931234
37800,35.9220143479,61.2286807337,53.8337442389,45.3970201711
38700,36.355798169,60.9514001114,54.0155646014,45.9589141675
39600,36.0773815852,60.8285446233,53.7019265243,45.7581025091
40500,36.0103748937,60.9271659582,54.0778136229,45.4826591787
41400,36.1959539891,61.0177658518,53.8220012625,45.5102536192
42300,35.9475457046,60.876407398,54.0595855924,46.0335174587
43200,35.8390508844,60.5046749557,53.6614075954,44.8458783068
44100,36.3139947005,61.2314367009,54.0923486295,45.6867794374
45000,36.3337225577,61.1382886628,54.1178080925,45.5793584513
45900,36.4983511452,61.4954028914,54.4445435569,45.7945928916
46800,36.4894129437,61.1721159643,54.2613696589,45.8421378559
47700,36.3560624063,61.3851725687,54.523194373,45.9592956965
48600,36.6354652749,61.0953452175,54.7439618015,45.8814218932
49500,37.0595894974,61.3754263705,54.6719608458,46.3430609806
50400,37.053015813,61.4567275539,54.538901512,46.0838940892
51300,37.3116249489,61.7768819618,55.1635231291,46.8202516813
52200,37.1776691039,62.1416057714,54.5522858988,46.7654016831
53100,37.3478991557,61.7861592483,54.7438788421,46.4687687154
54000,37.7153241346,61.9827394687,55.0672352257,46.5442770533
54900,37.5519524366,62.076539919,55.0027140965,46.571731346
55800,37.8743057742,62.3025529145,55.0745764919,47.1294160621
56700,37.5802684652,62.0339124679,55.1711940225,46.9916659051
57600,37.9380715417,62.2807586823,55.1989977679,47.5220030388
58500,38.2630884337,62.8567964317,55.8807848731,47.134340311
59400,37.7464793918,62.2912686926,55.6128967008,47.4559150243
60300,38.2012715005,62.9895141408,56.1947350096,47.6860512412
61200,37.7690439818,62.5982124102,55.6423179131,47.422906173
62100,38.2219006594,62.8400768768,56.1176704207,47.3801933403
63000,38.4018846112,63.1754206695,55.8610828706,47.6555058568
63900,38.3182115992,63.0205345381,55.7680451266,47.4408283691
64800,38.3204014911,62.8973213576,56.0134303716,47.9771966709
65700,37.8894905704,62.9284748782,55.5638329395,47.568408327
66600,37.6964571383,62.463732813,55.7131663697,47.2268893718
67500,37.9203817561,62.687455199,55.7267696698,47.3337922747
68400,38.3119209389,62.9231130691,56.021204766,47.7446025695
69300,38.5318414587,63.5253514541,55.800299548,47.7796147975
70200,38.2813528824,63.0543271366,56.4738701332,47.7567046278
71100,38.830913413,63.1123132189,56.7520596354,48.476036313
72000,38.3811316464,63.1811427201,56.4364432927,48.1455046522
72900,38.7644662895,63.4186330577,56.380392935,48.1413457133
73800,38.8212957688,63.2942744188,56.2295660756,47.7186766102
74700,38.7700650406,63.6442478968,56.3695273714,48.2333642045
75600,38.4597341513,63.2042131922,56.289973708,47.8925709814
76500,39.5787837305,64.1153234524,56.7018443387,48.4950187484
