Node,C92ICY6VWN,CBDWGRJVVL,CAKIJ91SJ7,C9EQAVY4YU
0,45.1197539095,66.587064877,58.4267211463,49.841626204
900,45.4424997087,66.6979447096,59.0399240444,50.9050696818
1800,45.5063113197,67.0539616243,58.7680906712,50.8513439115
2700,45.6493640706,67.1127043499,59.2659060578,50.5702303743
3600,46.0369578499,67.1242026729,59.3285483159,51.4046861821
4500,45.9918044151,67.620837728,59.4398558331,51.1693840179
5400,46.0682254933,67.57108175,59.4658244582,51.4718745138
6300,46.3212117829,67.5190841012,59.4985665729,51.3492522654
7200,45.9040962438,67.9392009472,59.8592678844,51.476309003
8100,46.7234200873,67.8845330819,59.5872556123,51.4664010708
9000,46.4035508768,67.675317949,59.8037780857,51.6589891985
9900,45.9168151298,67.6504219235,59.7795175834,51.7958720842
10800,46.7261818855,68.1500279423,59.747805192,51.3775964896
11700,46.6386077522,67.7249873431,59.7473269368,51.8846966686
12600,46.5959666765,68.1716308566,60.2489723133,51.7213421178
13500,46.9394487026,68.0562253892,59.9720060107,51.6669026197
14400,46.7200828381,68.1849602408,60.0081739401,51.8596343508
15300,46.894101872,68.2072115996,59.8638938616,51.7052541
16200,46.4356738629,68.1314309497,59.873215124,51.7315495936
17100,46.3209538063,67.6878376457,59.7057768764,51.6787893274
18000,46.2845702549,67.7323652835,59.8600545033,51.6435693498
18900,46.2057181972,67.720855411,59.7436203049,51.6954577112
19800,45.5257525121,67.8717370411,59.8077448122,51.4792205353
20700,45.1182011559,67.4190140406,59.6624319473,51.6260316177
21600,44.3749835775,67.4220477854,59.2842953128,51.1856647679
22500,43.7106059329,67.0135413754,59.1395243338,51.6683443398
23400,42.809850759,66.3553211594,59.0853410534,50.7065846675
24300,41.9645713175,66.2260461901,58.9453236926,50.8780490497
25200,40.8675145275,65.1216089916,58.0842849022,49.742347754
26100,40.4118173125,65.2671439279,57.5851881998,49.3555527406
27000,39.9027513657,64.6435736193,57.5010152717,48.840500875
27900,39.5423511714,63.8974617252,56.5662762629,48.1751809824
28800,38.6022880199,63.3344977103,56.4647071361,48.248871282
29700,38.826675244,63.207189295,56.3968781627,48.0746252406
30600,38.3798901023,62.9079899449,55.9798833852,47.7816799808
31500,37.7806091609,62.7383331518,55.6709756957,47.1870350592
32400,38.3792383835,62.4253706322,55.4415937122,47.3230725166
33300,37.8171396988,62.5237675945,55.301162168,47.4032734752
34200,37.9205233333,62.6041236368,55.2550500733,46.9194699415
35100,37.7642798004,62.3014335084,55.0450333661,46.8326841672
36000,36.9571214739,61.583731249,54.7193662915,46.2339564911
36900,37.7274050893,62.105369714,54.8007486559,46.1270397562
37800,38.0180679514,61.6025555118,54.3674409657,46.1378385908
38700,37.6981790528,61.9533118743,54.6589002166,46.6784602786
39600,37.0853326447,61.4530358561,54.6883298734,46.053077598
40500,37.9058197604,61.6683357248,54.2668410735,46.0471852684
41400,37.8984115005,62.1749765855,54.712096439,46.7316711561
42300,37.43020615,61.9193793196,54.9103882907,46.6988712528
43200,36.7784173144,61.6644594545,54.4325538493,46.3574130522
44100,37.5053258386,61.9457280472,54.2552316538,46.0102730672
45000,37.804916595,61.6704963149,54.5211572946,46.4056423788
45900,37.7194070931,62.3740628055,54.7697163115,46.6592255141
46800,37.7065966405,61.7589550819,54.6003318983,46.1527233836
47700,37.8141906617,62.2175704817,54.8337303053,46.1050045642
48600,37.9267249155,62.0718264586,54.986465743,46.2777208608
49500,38.1127543699,62.4017148114,54.9150573117,46.5349134789
50400,38.6369733144,62.5613568548,55.0505489119,46.4360452048
51300,38.601298577,62.2045303634,55.1318301905,46.7368799977
52200,38.3846121119,62.5952606647,54.8997458329,46.9768879822
53100,38.3736259123,62.3421159004,55.2766174772,46.8607636132
54000,38.9593380449,62.5831494416,55.4315359217,47.0788663187
